time,watts,moving,velocity_smooth,grade_smooth,cadence,distance,heartrate,altitude,grade_adjusted_distance,activity_id,label,mtb
48,282.0,True,4.914,0.0,73,257.0,116,-2.0,254.10106038244965,7331567695,0,0
49,339.0,True,5.036,0.9,77,262.7,116,-2.0,259.8917811211143,7331567695,0,0
50,348.0,True,5.302,0.0,81,268.6,116,-2.0,265.79178112111435,7331567695,0,0
51,355.0,True,5.578,0.8,84,274.6,117,-1.8,271.8815319187988,7331567695,0,0
52,289.0,True,5.776,1.6,86,280.5,117,-2.0,278.0195421543933,7331567695,0,0
53,256.0,True,5.92,2.4,88,286.6,119,-1.8,284.5523987465863,7331567695,0,0
54,221.0,True,6.034,4.6,91,292.9,120,-1.6,291.87902523145556,7331567695,0,0
55,220.0,True,6.182,4.5,93,299.5,121,-1.2,299.50907865012516,7331567695,0,0
56,195.0,True,6.37,3.6,96,306.4,121,-0.8,307.2399380068837,7331567695,0,0
57,168.0,True,6.564,2.2,98,313.4,122,-0.6000000000000001,314.6617244244256,7331567695,0,0
58,177.0,True,6.754,1.4,99,320.3,123,-0.6000000000000001,321.7826396326323,7331567695,0,0
59,148.0,True,6.902,0.0,99,327.4,123,-0.6000000000000001,328.8826396326323,7331567695,0,0
60,139.0,True,6.99,-0.7000000000000001,100,334.5,124,-0.4,335.9271622540824,7331567695,0,0
61,144.0,True,7.41,-1.3,100,343.5,124,-0.6000000000000001,344.7314657556614,7331567695,0,0
62,152.0,True,7.396,-2.0,100,350.3,125,-0.8,351.25864549477694,7331567695,0,0
63,136.0,True,7.384,-0.7000000000000001,100,357.3,125,-1.0,358.1949068773099,7331567695,0,0
64,153.0,True,7.358,0.0,99,364.2,126,-1.0,365.0949068773099,7331567695,0,0
65,176.0,True,7.3,0.7000000000000001,99,371.0,126,-0.8,371.97805589632753,7331567695,0,0
66,161.0,True,6.876,0.7000000000000001,99,377.9,126,-0.8,378.9624276950366,7331567695,0,0
67,169.0,True,6.862,0.0,99,384.6,126,-0.8,385.6624276950366,7331567695,0,0
68,181.0,True,6.848,0.0,99,391.5,126,-0.8,392.5624276950366,7331567695,0,0
69,174.0,True,6.808,-0.7000000000000001,98,398.2,126,-0.8,399.2006598473293,7331567695,0,0
70,182.0,True,6.816,-0.7000000000000001,98,405.0,126,-0.8,405.93718645127353,7331567695,0,0
71,169.0,True,6.798,-0.7000000000000001,98,411.9,126,-1.0,412.77317866676884,7331567695,0,0
72,160.0,True,6.784,-0.7000000000000001,99,418.6,127,-1.0,419.4110261803658,7331567695,0,0
73,148.0,True,6.776,0.0,99,425.4,127,-1.0,426.21102618036576,7331567695,0,0
74,130.0,True,6.7940000000000005,0.7000000000000001,99,432.2,127,-1.0,433.09465507436767,7331567695,0,0
75,136.0,True,6.78,0.7000000000000001,99,439.0,127,-1.0,439.9773277211382,7331567695,0,0
76,118.0,True,6.7940000000000005,0.7000000000000001,100,445.8,127,-0.8,446.8590579793329,7331567695,0,0
77,127.0,True,6.844,0.7000000000000001,99,452.8,127,-0.8,453.9422359211221,7331567695,0,0
78,135.0,True,6.882,0.0,100,459.8,127,-0.8,460.9422359211221,7331567695,0,0
79,115.0,True,6.922,0.7000000000000001,101,466.8,126,-0.8,468.02541386291136,7331567695,0,0
80,105.0,True,6.956,0.7000000000000001,100,473.7,126,-0.8,475.0078730912861,7331567695,0,0
81,100.0,True,6.96,0.7000000000000001,100,480.6,125,-0.6000000000000001,481.99176151227385,7331567695,0,0
82,106.0,True,6.936,0.7000000000000001,99,487.5,124,-0.6000000000000001,488.9771107685154,7331567695,0,0
83,110.0,True,6.882,-0.7000000000000001,98,494.2,124,-0.6000000000000001,495.6129918708023,7331567695,0,0
84,120.0,True,6.812,0.0,97,500.8,123,-0.6000000000000001,502.21299187080234,7331567695,0,0
85,145.0,True,6.7219999999999995,0.0,96,507.3,123,-0.8,508.71299187080234,7331567695,0,0
86,151.0,True,6.658,0.0,94,513.9,123,-0.6000000000000001,515.3129918708023,7331567695,0,0
87,151.0,True,6.608,0.8,94,520.5,123,-0.6000000000000001,521.9985123264767,7331567695,0,0
88,139.0,True,6.566,0.8,94,527.0,122,-0.6000000000000001,528.582737017671,7331567695,0,0
89,157.0,True,6.558,1.5,95,533.6,122,-0.6000000000000001,535.4151799050492,7331567695,0,0
90,150.0,True,6.58,2.3,95,540.2,122,-0.4,542.4415235785154,7331567695,0,0
91,168.0,True,6.602,3.0,95,546.9,122,-0.2,549.7761692872181,7331567695,0,0
92,136.0,True,6.62,2.3,96,553.6,122,0.0,556.9066341636624,7331567695,0,0
93,132.0,True,6.646,2.3,96,560.3,123,0.2,564.0394375897569,7331567695,0,0
94,143.0,True,6.652,0.8,96,566.9,122,0.2,570.7234749177032,7331567695,0,0
95,140.0,True,6.652,0.0,95,573.5,122,0.4,577.3234749177033,7331567695,0,0
96,129.0,True,6.658,0.0,96,580.2,121,0.2,584.0234749177033,7331567695,0,0
97,122.0,True,6.672,-1.5,97,587.0,121,0.2,590.6549382764308,7331567695,0,0
98,132.0,True,6.698,-1.5,97,593.8,121,0.2,597.2885103112901,7331567695,0,0
99,166.0,True,6.728,-0.7000000000000001,97,600.5,121,0.0,603.9267424635829,7331567695,0,0
100,172.0,True,6.772,0.0,98,607.4,121,-0.2,610.8267424635828,7331567695,0,0
101,163.0,True,6.8100000000000005,0.7000000000000001,99,614.3,121,0.0,617.8106308845705,7331567695,0,0
102,143.0,True,6.832,1.5,99,621.1,121,0.2,624.8382634961969,7331567695,0,0
103,108.0,True,6.834,0.7000000000000001,99,627.9,121,0.2,631.7228628040557,7331567695,0,0
